session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train6,picture_file
train6,list3,1,Apfel_neu,Apfel,neu,1,LFP,SP,cblock,food,Apfel_neu,apfel_neu.png
train6,list3,2,Baum_schwarz,Baum,schwarz,3,LFP,SN,cblock,nature,Baum_weiss,baum_weiss.png
train6,list3,3,Bild_gruen,Bild,gruen,5,LFP,SN,cblock,furniture,Bild_neu,bild_neu.png
train6,list3,4,Brot_neu,Brot,neu,11,LFP,SP,cblock,food,Brot_neu,brot_neu.png
train6,list3,5,Ei_weiss,Ei,weiss,16,HFP,SP,cblock,food,Ei_weiss,ei_weiss.png
train6,list3,6,Erde_rot,Erde,rot,17,HFP,SN,cblock,nature,Erde_schwarz,erde_schwarz.png
train6,list3,7,Fabrik_gross,Fabrik,gross,18,HFP,SP,cblock,building,Fabrik_gross,fabrik_gross.png
train6,list3,8,Frau_rot,Frau,rot,23,LFP,SN,cblock,human,Frau_weiss,frau_weiss.png
train6,list3,9,Glas_rot,Glas,rot,25,LFP,SN,cblock,tool,Glas_gruen,glas_gruen.png
train6,list3,10,Haus_schwarz,Haus,schwarz,26,LFP,SP,cblock,building,Haus_schwarz,haus_schwarz.png
train6,list3,11,Hemd_klein,Hemd,klein,27,LFP,SN,cblock,clothing,Hemd_rot,hemd_rot.png
train6,list3,12,Kaffee_neu,Kaffee,neu,31,LFP,SN,cblock,food,Kaffee_gruen,kaffee_gruen.png
train6,list3,13,Kerze_alt,Kerze,alt,33,LFP,SN,cblock,etc,Kerze_neu,kerze_neu.png
train6,list3,14,Kirche_rot,Kirche,rot,34,LFP,SP,cblock,building,Kirche_rot,kirche_rot.png
train6,list3,15,Kleid_gross,Kleid,gross,35,LFP,SN,cblock,clothing,Kleid_rot,kleid_rot.png
train6,list3,16,Krone_neu,Krone,neu,36,HFP,SP,cblock,etc,Krone_neu,krone_neu.png
train6,list3,17,Mann_weiss,Mann,weiss,38,HFP,SN,cblock,human,Mann_schwarz,mann_schwarz.png
train6,list3,18,Mauer_alt,Mauer,alt,40,HFP,SN,cblock,building,Mauer_schwarz,mauer_schwarz.png
train6,list3,19,Pfeil_gruen,Pfeil,gruen,44,HFP,SP,cblock,etc,Pfeil_gruen,pfeil_gruen.png
train6,list3,20,Pflanze_gruen,Pflanze,gruen,45,HFP,SN,cblock,nature,Pflanze_klein,pflanze_klein.png
train6,list3,21,Rose_weiss,Rose,weiss,48,HFP,SN,cblock,nature,Rose_alt,rose_alt.png
train6,list3,22,Schale_klein,Schale,klein,49,HFP,SN,cblock,tool,Schale_weiss,schale_weiss.png
train6,list3,23,Schuh_weiss,Schuh,weiss,50,LFP,SP,cblock,clothing,Schuh_weiss,schuh_weiss.png
train6,list3,24,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
train6,list3,25,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
train6,list3,26,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
train6,list3,27,Tuer_schwarz,Tuer,schwarz,57,LFP,SN,cblock,building,Tuer_gruen,tuer_gruen.png
train6,list3,28,Wueste_gross,Wueste,gross,61,HFP,SN,cblock,nature,Wueste_gruen,Wueste_gruen.png
train6,list3,29,Zelt_alt,Zelt,alt,63,LFP,SN,cblock,building,Zelt_gruen,zelt_gruen.png
train6,list3,30,Zweig_gruen,Zweig,gruen,65,HFP,SN,cblock,nature,Zweig_gross,zweig_gross.png
train6,list3,31,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
